 ;comment_text;Rhetoric;Main targeted group;Secondary targeted group;Pejorative framing of communism;Vulgar language
ČT;Dejte mu uz pokoj je nevinen💯;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Lidi mějte rozum a volte Petra Pavla 👍 pokud by se náhodou nedostal do 2. Kola tak Nerudovou... Nadšený z ní nejsem ale 100:1 lepší než Babiš 😃;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;"Tu zelenou gumu volit nebudu  ;)";Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Vašek Kulich nevolte ho pavla jinak vy a vase deti poslou do valky;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;🤮;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Špatný vtip😂😜;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Martin Fousek můžete to zkusit s lepším argumentem... Protože tohle je naprosto zcestné prohlášení 😃;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Co ví pořád máte volíme jediné 7 ok;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Pavel a Nerudová nevolitelní;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Babis je lepší a patří na hrad;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Vašek Kulich No tak to určitě🤦;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Pavla vůbec;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Vašek Kulich tu pizdu nikdy...zlodějka,podfukářka a 3nebo více pohlaví jsou prý na světë...blbka..;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Vašek Kulich ani nahodou;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Vašek Kulich ...jeden za všechny, všichni za jednoho ! My občané se selským rozumem budeme volit jedině A.Babiše ! Nejlepší prezident všech dob bude A.Babiš....narovná zkřivenou páteř ČR....bude to prezident, který bude dobrem pro ČR, né zlem !;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Vašek Kulich když už tak Baštu.Rozhodně ne ty dva šašky 🙄🙏;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Blanka Kraková nikdy;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Jaroslav Břenda tak Babiše 👍 co člověk,to názor.Nechci za prezidentku lhářku a podvodnoci stejně jako přetvářku Pavla☺️;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Blanka Kraková ani jeden včetně Babiše a dalších v top trojce není volitelný... Za mě tam není nikdo!!!;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Vašek Kulich co jste pil?;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Julie Dobešová prášky došly ? Jen se tak ptám .. je moc fajn , že naštěstí více lidi se z vašim názorem neztotožňuje 🙏😄;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Blanka Kraková zatímco Babis je čistý jako sklo , že 😂 , ale prosím Vás trochu rozumu;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Ty chceš na frontu ? Tak jdi 🇺🇦 ! ✊;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Julie Dobešová no ten určitě.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;udělal jsem si instantní polévku no prostě mnam;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Babiš je pro mě nevolitelný. Bezpáteřní lhář a manipulátor. 😡;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Volíme vás pane Babisi;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;“Já do politiky nechtěl”;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;A dva roky zpátky kandidovat na Hrad taky ne 🤣;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Jen otevře pusu a už kecá.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;David Švejnoha když on ho k tomu chudáčka vždycky někdo donutí 😢;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Včera se Babiš nezúčastnil debaty A dnes mu česká televize umožnila udělat si obrovské piar na prezidenta je mi z č0eské televize na blití;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;To je ale gauner;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Petr Krejci Na každou sviní se voda vaří! Jen na některé moc douho!!;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Kdo píše ty komentáře pro Babiše??? To je nechutný.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;To bude nejlepší prezident! ❤️ Jedině číslo 7;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;🤮;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Fandím vám;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;👍👍👍🍻;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Volím Babise;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Kydá a kydá ....to je otřesný;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;A co dělá pětikolo???! Daleko horší;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Marek SlezákHkavneFiala ten se poslouchat nedá chtěla bych aby při jeho projevu dál někdo sledovanost  to být bylo;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Jana Tomíšková však vás nikdo nenutí ho poslouchat,  ale rozhodně má jednu velkou přednost,  umí česky a je mu rozumět;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Gratulují... Super.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Babiš na hrad;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;"Tu zelenou gumu volit nebudu  ;)";Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Co je to : PIPA? 🤣🤣🤣🤣🤣🤣🤣🤣;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Vy jste začal tohle peklo!;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Tak sa všeobecne vyjadri ohľadom teba;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;🤮;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Novinářská žumpa se opět předvádí.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;A dva roky zpátky kandidovat na Hrad taky ne 🤣;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Vašek Kulich nevolte ho pavla jinak vy a vase deti poslou do valky;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Moc velká gratulace;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Gratuluji;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Debilove cesky on vas vytahl z dluhu celou ceskou republiku;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;U nás je Justice na Babiše krátká bohužel.  Na západě by si ho vychutnali,  tam narazili i jiní ptáčkove...;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Lubos Kukral ....a co říkáte na mafifi ve vládě na STAN-danové ráje...kdo v ČR vládne? Je to vláda svatá, pracuje pro národ ? 🤣Pětikoalice je křištálově čistá ?;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Julie Dobešová  pani... to je taky peklo... bohužel jsme bojacní češi a necháme si všechno líbit;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Já jsem není povinen, brilantní cestina;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Ta tvoje stojí taky zato 🤣on je Slovák, ještě něco?;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Petra Čechová jseš mééé;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Jan Zajan proč jako ? Upozornila na chybu a to je snad v pořádku ne ? 😂🙈;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Kecy a já já já 🤮;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Volím Babiše;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Každý správný rodič chrání své děti tím, že z nich udělá bílé koně, aby mohl čerpat dotaci 50mio 😃;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;A furt dokola 🙏🏽🙈🙈;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Dominik Szalay . Soudce jasně řekl, že se tyto věci staly, akorát to plně nesplňuje podmínky pro trestný čin.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;🤮;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Bože , to je dobytek;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Jen otevře pusu a už kecá.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Gratulace;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Keci keci keci mamrdy StB Bureši 🤮🤮🤮🤢🤢🤢;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Mirek Ivan a Danuše s turbo tituly nevadí?😛;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Jojo je to kampaaaan🤣 hroznej ubozak.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Ty jsi šašek..... Divadla kvůli tobě budou mít prázdno.. lepší herecký výstup už nikdo v dnešní době nezahraje 🤟🥂🤣;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;On snad ani neví,že pořád lže;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Jana Johana Petříčková Fiala;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Jana Johana Petříčková vlastní zkušenost?;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;No vždyť ho poslouchám,tak to jasně slyším🤣;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Jana Escher jasně copak nepoznáte že lže a vysmívá se stádu co ho obdivuje;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Jana Tomíšková jo ten je v tom taky mistr;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;David Švejnoha když on ho k tomu chudáčka vždycky někdo donutí 😢;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Gratulace;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;OSTUDA HNUS;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Fuj;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Miroslav Janecek se toho potkana snad nezbavime;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;👍👍👍🇨🇿🇨🇿🇨🇿;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;🖕;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Dobře Babiš TK;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;A furt dokola 🙏🏽🙈🙈;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Vezmi si tu řepku a jdi do prd.....;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Těm co se vám chce zvracet ,tak si dejte panáka,at mate něco v hlavě...!!!;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;50 mega dostal ok, ale vrazil je všechny do Čapaka A i X milionu k tomu. Přemýšlejte!!!;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Ta tvoje stojí taky zato 🤣on je Slovák, ještě něco?;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Bože, to je páteř, ať zmizí z politiky, založí sektu plačících a netýrá tolik svou rodinu.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Marika Jandova a ty si dej hadr na hlavu;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Marika Jandova mate možnost!;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Jo volím Babiše proto že je nejlepší;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Gejza Stil Ses dobre vypatlanej...!!!;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;přesněěěěěěěěěěěě.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Gejza Stil Babiš StB agent Slovák, finanční kauzy v ČR a ve Francii , 40 protipravnich nařízení za covidu no jen blázen ho muže volit ta prezidenta!!!!00;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;"Gejza Stil vypadlo vám na konci slovo ""lhář""";Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Gejza Stil nejlepsi zlodej?;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Už se těším až Vám pan premiér Fiala bude říkat pane prezidente 😄Máte můj hlas.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Jitka Filová to nejste asi sama 😄😀😄😀;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;To jo;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Jitka Filová A tys chodila do skoly...? Pochybuji... 😂😂😂;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Soloviç Smoker Za to z Vás inteligence číší 😆;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Jitka Filová Alespon nepodporuju vraha a zlodeje...!!!;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Soloviç Smoker Podporujte si co chcete vy.To je svobodná volba.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Jitka Filová Dalsi vydlabana dyne... 🎃;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Jitka Filová Nebude. Těšíte se marně.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Dete mu pokoj jediné Von pomáhá lidem;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Květoslava Berta Hangurbadzova 🙏paneboze opravdu jste tohle napsala ? A opravdu si tohle myslíte ? 😂🙈;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Za miliardy si můžete koupit koho chcete a co chcete...;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Tento člověk by byl prospěšný akorát, kdyby se spakoval zpět do rodné Blavy. Jak praví Bureš - je to totální žumpa tento udavač. 🤮🤮🤮 A tak hlavně, že je vzdělanej a ví, že Měsíc je planeta a mlíko se tvoří u krav v žaludku.  😂😂😂;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Kolik jsi zaplatil tomu soudci vole ? Asi dost že;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Super 🍀;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Gratulujeme 🍀🍀🍀;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Milá televize, jste blbouni.....;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Špatný vtip😂😜;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;☺️☺️☺️;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Martin Fousek můžete to zkusit s lepším argumentem... Protože tohle je naprosto zcestné prohlášení 😃;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Mám radost p.bavisi volíme 7;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Pane bože zase důchodce;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Stefania Sztojkova Svůj k svému.Vrana k vráně sedá;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Proč to vysíláte a děláte mu předvolební promo??? Včera mohl mluvit, dnes stačila zpráva o výroku soudu a ne vysílat ty jeho výblitky;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Nikdo tu není zvědavy na vaše výblitky.Odtahněte si povoz i milion chvílek.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Drž pec 🙏;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Gratuluji p.bavis;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Koukam ze mu tady fandi jenom ockovani ovce;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Jsem ráda že pravda vyšla najevo gratuluji;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Fandim  vam moc❤️;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Marco Richter abyste jste si třeba nešel sednout vy víte co se říká karma  je zdarma můžete nechtěně způsobit dopravní nehodu a někoho usmrtit a šup už jste v kriminále nikomu nic zlého nepřejte ta karma  Vás dožene;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Pro mě je obrovská trauma to že jsi se ještě neodjebal zpátky na Slovensko mrzáku;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Pravda zvitezila;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Kateřina Krejčova asi nejostřejší tužka v penale;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Pane bože zase důchodce;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Dominik Szalay . Soudce jasně řekl, že se tyto věci staly, akorát to plně nesplňuje podmínky pro trestný čin.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Hajzl se zase směje,ale dojde na něho;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Už vás čte Rakušan;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Zález ty kriple....;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;René Nevojský Bob volis tu gumu,ne? Nebo tu brněnskou zlodějku?;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Aleš Jon ani jedno kámo;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Peníze dělají divy 👍;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Jediné Bavíš 7;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Martin Fousek ani nedáš kloudnou větu dohromady a budeš tu vyprávět, jak má někdo nasrano v hlavě 🙈;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Super fandime vam pane babis s londyna;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Na hrad;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Co ti je potom ty osle;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Už vás čte Rakušan;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Zález ty kriple....;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Je vidět jak tu spousta lidí zapomíná.... Toto je divadlo pro ovce a velká politická a ekonomická hra... Takže tupé ovce ať volí koho chtějí, já k volbám nejdu, není tam nikdo kdo by měl opravdu tah na branku;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;15% pro Babiše v prvním kole navíc 👍🏻👍🏻👍🏻;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Michaela Marečková pokud neodvola statni zastupce tak konci;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;A co zámeček ve Francii 😂;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;David Doležal Neignoruje občany ale ČT, ve čtvrtek bude na Nově.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Jediné Andrej;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Ted Babis netvrdi ze mame zkorumpovane soudy? Zvlastni :D;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Volby na prezidenta dělá Americká firma Hewlett Packard, K volbám jdete jen proto ,že potřebují váš občanský průkaz, na vašem hlasu nezáleží, Hledejte si informace protože tam jdete za blbce a ještě se na to těšíte. Tato Americká firma , měla na starosti volby u nás i v roce2012.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Nespí tě p.bavise;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Když jeho by měli zavřít za padesát milionů, tak co by zasloužila naše současné vláda za ten tunel české republiky?;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;👏👏👏👏;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Pro mne to není DOBRÁ ZPRAVA😟;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Dobrá zpráva to je pro všechny krom Fiale slepence a vás jejich voličů.Pravda vám smrdí ze všech stran.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Jo pane Babiš zasloužil jste si být nevinný!AŤ SE PĔTIKOLKA ZTOHO PO..S.R.E;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Řekl příznivec pětikolky 😂😂🤣;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Velká gratulace🙏👏🇨🇿👌☘️❤️;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;"cituji: ""Jan Korytář 1 h · Zproštění obžaloby A. Babiše by mělo být podnětem pro velké zamyšlení většiny ostatních politiků, nakolik šlo o skutečný, nebo jen zástupný problém a my všichni bychom se mohli zase vrátit více k diskusi o tom, kudy se skutečně ztrácejí veřejné peníze, jak funguje korupce dnes a co jsou reálné problémy této země. Čapí hnízdo už to asi nebude... A taky bychom se mohli začít bavit o tom, nakolik kauza A. Babiše a on sám jsou pro naši společnost skutečným problémem, nebo zda slouží spíše k odvedení pozornosti od větších problémů. A. Babišovi gratuluji k vítězství u soudu, je to pro něj asi velká satisfakce. Ano, sledujme bedlivě, co bude dál dělat a kde může být problém, ale nezapomínejme ani na další hochy z ODS, STAN, KDU- ČSL, TOP 09, Pirátů, SPD, ČSSD a dalších. Je snadné najít si jednoho otloukánka a označit ho za zloducha, na kterém si léčíme naše mindráky, ať už je to kolektiv ve třídě, nebo někdo v politice, kdo narušil jako on zavedené pořádky. Doufám proto, že rozhodnutí soudu povede k trochu střízlivějšímu a vyrovnanějšímu pohledu i na jeho další působení v politice.""";Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Fandím Vám👏👏👏;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Podivejte se na facebook Středuly asi skončí v odborech😂;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Konečně dobrá zprava dne🙏🙏🙏;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Supr můj;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Neumíte řešit někoho jineho😡😡;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;🥰🥰🥰;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Gratuluji👏👌🙏🇨🇿🇨🇿🇨🇿;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Gratulujem;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Pravda vyšla najevo huraaaa👌🇨🇿👏👏👏☘️☘️☘️;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Ale oni si zase něco najdou. Ty komentáře jsou hnus  co píšete jsou hnus a.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Hodně štěstí ☘️☘️☘️🇨🇿🇨🇿🇨🇿;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;P.Babiš moc vám gratuluji teď už to jen dotáhnout na hrad a ti co vás osočovali by se měli veřejně omluvit 🇨🇿;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Vy kam ???;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;🇨🇿🇨🇿🇨🇿👏👏👏👌👌👌;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;A proč si proboha do te politiky lezl?!?;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Generál z leknutí se už z toho může pos..t, zbrojí a kuji pykle i se svými poskoky, včetně svojí zelené gumy doma...;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Pane Babiši, vítám rozhodnutí soudu a první velkou prohru pěti koalice, která vás se snažila vás i celou rodinu očerňovat po celou dobu co jste v politice a na tom si také postavila své programy politické a prohráli;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Hnus..... Za takovou sumu by normální člověk seděl 25let ❗❗❗❗❗A soudci zkorunpovaný 🐖.... . To je krásná spravedlnost..... 🤮🤮🤮🤮🤮;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Ten šulin ma co povídat, takže on udělá škodu 50milionu ale to je v pohodě sak to daňoví poplatníci zaplatí y v kliduuuu ... Šulin to je!;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;O jaké škodě mluvíte?Dotace vrátil a Vy se můžete na Čapim hnízdě rekreovat.Tak oč jde?;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Nebudou říkat je sťíhán ale určitě byl stíhán pokud ano tak to jsou debilní lidi.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Super ❤️;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Bez tebe se republika obejde damo;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;A teď vyhrajte další životní etapu , vyhrajte prezidentské volby;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Je mi z neho na blití 🤮;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Odškodnění bude až ho zvolíte;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Super;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Marpod Fikar chceme ty Nulo úkáčkovská😃;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;On je ukradl? Ono je beztrestné někoho nařknout z krádeže?;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Super;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Byla obrovská trauma?!?!?! Slyším chvilku a chce se mi zvracet.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Josef Poupě tak neposlouchej;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Chci mit nejhorsiho prezidenta, proto volim Babiše č. 1 !;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Skvělé ale to jsme věděli ze to bude ok.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Gratuluju pane ♥️Andrej Babiš ♥️;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Superr❤️❤️❤️;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🌼🤮🤮🤮🤮;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Super;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;🥰🥳🥳😛;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Komárek zase lže na ČT 24 😡😡😡😡;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Byla to obrovská prauda🤣proboha to máme mít nového Husáka 😡😡😡😡👎👎👎👎👎!!!???? Aspoň češtinu by už konečně měl mít vypilovanou!!!;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;A jako proč!?;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
ČT;Člověk, který není ochoten a schopen s ostatními kandidujícími diskutovat, není hoden stát v čele naší země.;Irrelevant;Not targeting;Not targeting;FALSE;FALSE
